"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217"
"image_0085",0.0016181,0.0048544,0,0,0,0,0,0.0032362,0,0,0,0,0,0,0,0.0016181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016181,0,0,0,0,0,0.0016181,0.0016181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032362,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016181,0.0097087,0,0,0,0,0,0,0,0.0016181,0,0,0.0032362,0,0,0,0,0,0,0,0,0,0,0.0016181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048544,0,0.0016181,0,0,0,0,0.0016181,0,0,0,0,0,0,0,0,0,0,0.0016181,0,0.0016181,0.0032362,0,0,0,0,0.0016181,0,0,0,0,0.0016181,0.0016181,0,0,0,0.0016181,0,0,0,0,0,0,0,0,0,0,0,0,0
"image_0086",0,0.00080193,0,0,0,0,0,0,0.00080193,0,0,0,0,0.00080193,0.00080193,0,0.00080193,0,0.0040096,0,0,0,0,0.00080193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00080193,0,0,0.00080193,0,0,0,0,0,0,0,0,0,0,0,0,0.00080193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016039,0.0024058,0,0.00080193,0.00080193,0,0,0,0,0.00080193,0,0,0,0.00080193,0,0.017642,0,0,0,0,0,0,0,0,0,0.00080193,0.00080193,0,0,0,0,0,0,0,0,0,0.00080193,0.00080193,0.0024058,0,0,0.0024058,0,0.00080193,0,0.0040096,0,0.0016039,0.0032077,0.00080193,0,0,0,0.00080193,0,0,0,0,0,0,0,0,0,0.00080193,0,0,0.00080193,0,0,0,0,0,0,0.00080193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032879,0,0,0,0,0,0,0,0.00080193,0.00080193,0,0,0,0,0,0.00080193,0,0,0,0.0016039,0,0.00080193,0,0.0016039,0,0,0.0016039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016039,0,0.00080193,0,0,0,0
"image_0087",0,0.0012368,0.00061842,0.00061842,0,0,0,0,0,0,0,0,0,0,0,0,0.0012368,0.00061842,0,0,0,0,0.00061842,0,0,0,0,0.00061842,0,0.0012368,0,0.00061842,0,0,0,0,0,0,0,0,0,0.0012368,0,0,0,0,0,0.00061842,0,0,0,0,0,0,0.00061842,0,0,0,0,0.00061842,0,0,0,0,0.00061842,0.00061842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061842,0,0,0,0.0018553,0.00061842,0.0037105,0,0,0,0,0,0,0,0,0,0,0,0.00061842,0.00061842,0.0018553,0,0,0,0,0,0,0.00061842,0.00061842,0.004329,0,0,0.0030921,0,0,0,0.0049474,0.00061842,0.00061842,0.0024737,0.0012368,0,0,0,0.00061842,0,0.0012368,0,0,0.00061842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012368,0,0.00061842,0,0.00061842,0,0.00061842,0,0.00061842,0,0,0,0,0,0,0,0,0,0,0.0012368,0,0.0024737,0.00061842,0,0,0,0.0018553,0,0,0,0,0.00061842,0.00061842,0,0,0,0,0,0,0,0,0,0,0,0,0.00061842,0,0.0012368,0,0
"image_0088",0,0.0013004,0,0,0,0,0,0,0,0.0013004,0,0,0,0,0,0.0013004,0,0,0.0013004,0,0,0,0.0013004,0,0,0,0,0,0,0,0,0.0013004,0.0026008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013004,0.0013004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010403,0.0026008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013004,0,0.0026008,0,0.0026008,0,0,0,0.0026008,0.0013004,0,0.0026008,0,0,0,0,0,0,0,0,0,0,0,0,0.0013004,0,0,0,0,0,0,0.0013004,0,0,0,0,0.0026008,0,0,0,0.0013004,0,0,0,0,0,0,0,0,0,0.0013004,0,0.0026008,0,0,0,0,0,0.0013004,0,0,0,0,0,0,0.0013004,0,0,0,0,0,0,0,0,0,0,0,0,0.0026008,0,0.0013004,0,0,0.0013004,0,0,0,0.0013004,0.0013004,0,0,0,0,0,0.0013004,0,0,0,0,0.0013004,0,0
"image_0089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024038,0,0,0,0.0072115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024038,0,0,0,0,0,0,0,0.0024038,0,0,0.0024038,0,0,0,0.0024038,0,0,0,0,0,0,0,0.0024038,0,0,0,0,0,0,0,0.0024038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024038,0,0,0,0.0096154,0,0.0024038,0,0,0.0024038,0,0,0,0,0,0,0,0,0,0,0,0,0.0024038,0,0,0,0,0,0,0,0,0.0024038,0,0,0,0,0,0,0,0,0
"image_0090",0,0.0024242,0.0012121,0,0,0,0,0,0,0,0.0012121,0,0,0.0012121,0,0.0012121,0.0012121,0,0,0,0,0,0,0,0,0,0,0,0,0.0012121,0,0.0012121,0.0012121,0,0,0,0,0,0,0,0,0.0012121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012121,0,0.0024242,0,0,0,0,0,0,0.0012121,0,0,0,0,0,0,0,0,0,0.0012121,0,0,0,0,0,0,0,0.0012121,0,0.0012121,0,0,0,0,0.0012121,0,0.0012121,0,0.0012121,0,0.0024242,0,0,0,0,0,0,0,0,0,0.0012121,0,0,0.0012121,0,0,0,0,0.0012121,0,0.0036364,0.0048485,0,0,0.0024242,0,0,0,0.0024242,0.0012121,0,0,0,0,0,0,0,0.0012121,0,0,0,0,0,0,0.0012121,0,0,0.0012121,0,0,0,0,0,0,0,0,0,0,0.0024242,0,0.0012121,0,0,0,0,0,0.0012121,0,0,0,0,0,0.0024242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012121,0,0,0,0.0036364,0,0.0012121,0,0,0,0,0,0,0,0,0.0012121,0,0,0,0.0012121,0,0,0,0,0,0,0,0,0,0,0,0.0012121,0
"image_0091",0.0014577,0,0,0,0,0,0.0014577,0,0.0014577,0,0,0,0,0,0,0.0014577,0,0.0014577,0.0014577,0,0,0,0.0014577,0,0,0,0,0,0,0.0014577,0,0,0,0,0.0043732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029154,0,0,0.0014577,0,0,0,0.0058309,0,0,0,0,0.0014577,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029154,0,0,0,0.0029154,0,0,0,0,0,0,0.0014577,0,0.0014577,0,0,0.0014577,0,0,0,0.0029154,0,0,0.0014577,0,0,0,0,0,0,0.0014577,0,0,0.0014577,0,0,0.0014577,0,0,0,0,0,0,0,0.0014577,0,0,0,0,0,0,0,0.0029154,0,0,0,0,0,0.0014577,0,0,0,0,0,0.0029154,0,0.0014577,0,0,0,0,0,0.0014577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"image_0092",0,0,0,0,0.032403,0,0,0,0,0,0,0,0,0,0,0.00090009,0,0.00090009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00090009,0.00090009,0,0,0,0.00090009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00090009,0,0,0,0,0.00090009,0,0,0,0,0.00090009,0,0,0,0,0,0,0,0,0,0.00090009,0,0,0.0027003,0,0.00090009,0,0,0,0,0,0.00090009,0,0,0,0,0,0,0.0018002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00090009,0,0,0,0,0.00090009,0,0,0,0,0,0.0018002,0,0,0,0.00090009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00090009,0,0,0,0,0,0,0.0018002,0,0,0,0,0.00090009,0,0,0,0,0,0,0,0,0,0.0072007,0,0,0,0.00090009,0,0.0036004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018002,0,0,0,0,0.00090009,0,0,0,0,0.00090009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"image_0093",0,0.0026339,0.0017559,0.00087796,0,0,0.0017559,0,0,0,0,0,0,0,0,0,0.0017559,0,0,0,0,0,0,0,0,0,0,0.00087796,0,0.0017559,0,0.00087796,0,0.00087796,0,0,0,0,0,0,0,0.0026339,0,0,0,0,0,0,0,0,0,0,0.00087796,0,0.00087796,0,0,0.00087796,0,0,0,0.00087796,0,0,0,0,0.00087796,0,0,0.00087796,0.00087796,0,0,0,0,0,0.00087796,0,0.00087796,0,0,0.0026339,0,0,0,0,0,0.0026339,0,0.00087796,0,0.00087796,0,0.0026339,0,0,0,0,0,0,0.00087796,0,0,0,0,0,0.00087796,0,0.00087796,0,0,0,0,0,0.00087796,0,0.0052677,0,0,0.0043898,0,0,0,0.00087796,0,0,0.0017559,0,0,0,0,0,0.00087796,0,0,0,0,0.00087796,0.00087796,0,0,0,0,0,0,0,0.00087796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087796,0,0,0,0,0,0,0,0.00087796,0,0.00087796,0,0,0,0,0,0,0,0,0.00087796,0,0,0,0,0,0,0,0.00087796,0,0.00087796,0.00087796,0,0,0,0.00087796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"image_0094",0,0,0.00082169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082169,0,0.00082169,0,0,0,0,0.00082169,0,0,0,0,0,0,0,0,0,0.00082169,0,0,0,0,0.00082169,0,0,0,0,0,0,0,0.0016434,0,0,0,0,0,0,0,0,0,0.00082169,0.00082169,0,0,0,0,0,0,0.00082169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082169,0,0,0,0,0,0,0,0,0,0,0,0,0.00082169,0,0.0090386,0,0.00082169,0,0,0,0,0,0,0,0.00082169,0,0,0.0016434,0.00082169,0.0016434,0,0,0,0,0,0,0.00082169,0.0024651,0,0.0016434,0,0,0,0,0.0024651,0.00082169,0.00082169,0,0,0,0,0,0,0,0.00082169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082169,0,0,0,0,0.00082169,0,0,0,0,0,0,0,0,0,0,0,0,0.0098603,0,0.0016434,0,0,0,0,0,0,0.00082169,0,0,0,0,0,0,0,0.00082169,0,0.00082169,0,0.0016434,0,0.00082169,0,0,0,0,0,0,0,0.00082169,0.00082169,0,0,0.0032868,0.00082169,0,0,0,0,0,0,0.0024651,0,0,0,0,0,0
"image_0095",0,0,0,0.001182,0,0,0.001182,0,0,0,0,0,0,0,0,0,0,0,0.001182,0,0,0,0,0,0.001182,0.001182,0,0,0,0,0,0,0,0,0,0,0,0.001182,0,0,0,0.0023641,0,0,0,0,0,0,0.001182,0,0,0,0,0,0,0,0,0,0.001182,0,0,0,0,0,0,0,0,0,0,0,0.001182,0,0,0,0,0.001182,0,0,0.001182,0,0.001182,0,0.001182,0,0.001182,0,0,0,0,0,0,0,0.001182,0.0023641,0,0,0,0,0,0,0,0.001182,0,0.001182,0.0023641,0,0,0.001182,0,0,0,0,0.001182,0,0,0,0.0023641,0.001182,0,0.0035461,0,0,0,0.0023641,0,0.001182,0,0,0,0,0,0,0,0,0,0,0,0.001182,0,0.0023641,0,0,0,0,0,0,0,0.001182,0,0.001182,0,0.001182,0,0.001182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047282,0,0,0,0,0,0,0,0,0.001182,0,0,0,0,0,0,0,0.001182,0,0,0.001182,0.001182,0,0,0,0,0.001182,0,0.001182,0,0,0,0.0023641,0,0,0,0,0,0,0,0,0,0,0,0,0.001182,0,0,0,0
"image_0096",0,0.001199,0,0,0,0.00059952,0,0,0,0,0.0017986,0,0,0.00059952,0,0,0.001199,0,0.0017986,0,0,0,0,0,0,0,0,0,0,0.00059952,0,0.00059952,0,0,0,0,0,0,0.0017986,0,0,0.0017986,0,0,0,0,0,0,0,0.00059952,0,0,0,0,0,0,0.00059952,0,0,0,0,0,0,0,0.00059952,0,0,0,0.00059952,0.00059952,0,0,0,0,0,0,0,0,0.001199,0,0,0.00059952,0,0,0,0,0,0,0,0.00059952,0,0,0.00059952,0.0029976,0,0,0,0.00059952,0,0,0,0.00059952,0,0.001199,0.0029976,0,0,0.00059952,0.00059952,0,0,0,0.00059952,0,0.001199,0,0.0035971,0,0.00059952,0.0017986,0,0,0,0.0047962,0,0,0,0,0,0,0.001199,0.00059952,0.00059952,0,0,0,0,0,0.00059952,0,0,0,0,0,0,0,0,0,0,0,0,0.00059952,0,0,0,0.0017986,0,0,0.00059952,0,0.00059952,0,0,0,0,0,0,0.010791,0,0,0,0.00059952,0,0,0,0.00059952,0,0,0,0.00059952,0.001199,0.001199,0,0,0,0.00059952,0,0.00059952,0.0029976,0,0.00059952,0,0,0.0017986,0,0.001199,0,0,0,0.001199,0,0,0,0,0,0,0,0,0,0.00059952,0.00059952,0.00059952,0,0,0,0.00059952,0
"image_0097",0,0.0010373,0.0010373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020747,0,0,0.0010373,0,0,0,0,0.0010373,0,0,0.0010373,0,0,0,0,0,0.0010373,0,0,0,0,0,0,0,0,0,0,0.0010373,0,0,0,0,0,0,0,0,0,0,0,0.0010373,0.0010373,0,0,0,0,0.0010373,0,0,0.0010373,0,0,0,0.0010373,0,0.0020747,0,0,0,0.0010373,0.0010373,0,0.0010373,0.0010373,0.0010373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020747,0,0.0010373,0.0010373,0.0020747,0.0010373,0,0.0020747,0,0,0,0.0010373,0.0020747,0,0.0010373,0,0,0,0,0.0010373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020747,0,0,0,0,0,0,0,0,0,0.0010373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010373,0,0,0,0.0010373,0.0010373,0,0,0,0.0020747,0,0,0.0010373,0,0.0010373,0,0,0,0,0.0010373,0.0010373,0,0,0,0,0,0,0,0,0,0,0.0010373,0,0.0010373,0,0,0.0020747,0.0020747
"image_0098",0,0.0018622,0.00093111,0,0,0,0.00093111,0,0,0,0,0,0,0,0,0,0.00093111,0.00093111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00093111,0,0,0,0,0.0018622,0.0018622,0,0,0,0,0.00093111,0,0,0,0,0.00093111,0,0,0.0018622,0,0,0,0,0,0,0.00093111,0,0,0,0,0,0,0,0.00093111,0.00093111,0,0,0.00093111,0,0,0,0,0,0,0,0.0018622,0,0,0,0.00093111,0,0,0,0.00093111,0,0,0,0,0.0018622,0,0.0046555,0,0,0,0,0,0,0,0.00093111,0,0,0.00093111,0,0,0.00093111,0.00093111,0,0.00093111,0,0,0,0.00093111,0,0,0,0.00093111,0.00093111,0,0,0,0.0093111,0,0,0,0,0,0,0,0.0027933,0,0,0,0,0,0.00093111,0,0,0,0,0,0,0,0.00093111,0,0.00093111,0,0,0,0.00093111,0,0,0,0,0,0,0,0,0,0,0,0,0.00093111,0,0,0.0065177,0,0,0,0,0,0,0,0,0,0,0,0.00093111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018622,0.0018622,0,0,0.00093111,0.00093111,0.00093111,0,0,0,0,0,0,0,0,0,0,0,0
"image_0099",0,0.0026954,0,0,0,0,0.00053909,0,0,0,0,0,0,0.00053909,0,0.00053909,0.00053909,0,0,0,0,0,0,0.00053909,0.00053909,0,0,0.00053909,0,0.00053909,0,0,0,0.00053909,0,0,0,0,0.00053909,0,0.00053909,0.0010782,0,0,0,0,0.00053909,0,0,0,0,0,0,0,0,0,0,0.0010782,0,0.0016173,0,0.00053909,0,0,0.00053909,0.00053909,0,0,0,0,0.00053909,0,0.00053909,0,0,0,0,0,0.00053909,0.00053909,0,0.00053909,0.00053909,0,0,0,0.0016173,0,0,0.0010782,0,0.0010782,0.00053909,0.0037736,0,0.00053909,0,0,0,0,0,0.0016173,0,0.00053909,0,0,0,0,0.00053909,0,0.00053909,0,0,0,0,0,0.0016173,0,0,0.0043127,0,0,0,0.0026954,0,0,0.0021563,0.00053909,0,0,0.00053909,0,0,0,0.00053909,0,0,0,0,0,0,0,0,0,0,0,0.0016173,0,0,0,0,0,0,0,0,0.00053909,0,0,0,0,0,0,0,0,0,0,0,0.006469,0,0,0,0,0.00053909,0,0,0.00053909,0,0,0,0.0010782,0.0010782,0.0016173,0,0,0.00053909,0,0.00053909,0,0.0016173,0,0.00053909,0.0010782,0,0.00053909,0,0,0,0,0.0016173,0.00053909,0,0,0.0016173,0,0,0,0,0,0,0.00053909,0.0010782,0.0010782,0,0,0,0,0
"image_0100",0,0.0017847,0,0,0,0.00059489,0,0,0,0,0.00059489,0,0,0.0011898,0,0,0.0011898,0,0.00059489,0,0,0,0.00059489,0,0.0011898,0.0011898,0,0,0,0,0,0,0,0,0,0.00059489,0,0,0,0,0,0.0011898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011898,0.00059489,0.00059489,0,0.00059489,0.00059489,0,0,0,0.00059489,0,0,0,0,0,0,0.0011898,0,0,0,0,0.00059489,0.0011898,0,0,0,0,0,0,0.00059489,0,0,0.0011898,0.0023796,0,0,0,0,0,0,0.00059489,0,0,0.00059489,0,0.00059489,0,0.00059489,0,0,0,0,0.00059489,0.0011898,0.00059489,0,0.0017847,0,0.00059489,0.0011898,0,0.00059489,0,0,0,0,0,0,0.00059489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00059489,0,0,0,0,0,0,0.00059489,0,0,0,0.00059489,0,0,0,0,0,0,0,0,0,0,0,0.0017847,0,0,0,0.00059489,0,0,0.00059489,0,0,0,0,0.00059489,0.00059489,0.0017847,0,0.00059489,0,0,0.00059489,0,0.00059489,0.00059489,0.00059489,0,0,0,0,0,0,0,0,0,0,0,0,0.0011898,0,0,0,0,0,0,0,0.00059489,0.00059489,0,0.00059489,0,0
"image_0101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002445,0,0,0,0.002445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002445,0,0,0,0.002445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002445,0,0,0,0,0.00489,0,0,0,0,0,0,0,0.002445,0,0.022005,0,0,0,0,0,0,0,0.00489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002445,0.002445,0,0,0.002445,0,0,0,0,0,0,0,0,0,0,0,0.002445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002445,0,0,0,0,0,0,0.002445,0,0,0,0,0,0,0,0,0,0,0.002445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00489,0,0,0.002445,0,0.002445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"image_0102",0,0.001087,0,0,0,0,0,0,0.00054348,0,0,0,0,0,0,0.0016304,0.00054348,0,0.0016304,0,0,0,0.00054348,0.00054348,0.00054348,0,0,0,0,0.00054348,0,0,0.001087,0,0,0,0,0,0.00054348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00054348,0,0,0,0.00054348,0.00054348,0.001087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00054348,0.00054348,0,0,0.001087,0,0,0,0,0,0,0.0016304,0.00054348,0.00054348,0,0.0021739,0.00054348,0,0,0,0.00054348,0,0,0,0,0,0.00054348,0,0,0.00054348,0,0.00054348,0,0,0,0.00054348,0.0016304,0.0016304,0.00054348,0.00054348,0,0.00054348,0,0,0,0.0038044,0,0.00054348,0.0021739,0,0,0,0,0,0.00054348,0.00054348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00054348,0.001087,0,0,0,0,0,0,0,0,0,0.00054348,0,0,0,0,0.001087,0.022826,0,0.0016304,0,0,0,0,0.00054348,0.001087,0,0,0,0.0016304,0.00054348,0,0.001087,0,0.001087,0,0.00054348,0.001087,0.0016304,0,0,0.00054348,0,0.00054348,0,0,0,0,0,0.00054348,0,0,0.00054348,0,0.00054348,0,0,0,0,0,0.00054348,0,0.001087,0,0.001087,0.00054348,0
"image_0103",0,0.0031712,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010571,0.0021142,0,0.0010571,0,0,0,0,0,0,0,0,0,0,0.0010571,0,0,0.0010571,0.0021142,0,0,0,0,0.0010571,0,0,0,0,0,0,0,0,0,0.0010571,0,0,0,0,0,0,0,0,0.0010571,0,0,0,0,0,0,0,0,0.0010571,0,0,0,0,0,0,0,0,0,0,0,0.0010571,0,0.0010571,0,0.0021142,0,0,0,0,0,0,0.0010571,0,0,0.0010571,0.0021142,0,0,0,0,0,0,0,0,0,0.0021142,0,0,0.0021142,0.0010571,0,0,0,0,0.0010571,0,0,0,0,0,0.0010571,0.0031712,0,0,0,0,0.0010571,0,0.0010571,0.0021142,0,0,0.0010571,0,0.0010571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031712,0,0.0010571,0,0,0,0,0,0.0010571,0,0,0,0,0,0,0,0,0,0,0,0,0.0021142,0,0,0,0,0.0010571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"image_0104",0,0.0020534,0.00068447,0,0,0,0.00068447,0,0,0,0,0.00068447,0,0,0,0.0013689,0,0,0,0,0,0,0.00068447,0,0.00068447,0,0,0,0,0.00068447,0,0,0,0.00068447,0,0,0,0,0.00068447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00068447,0,0,0.00068447,0,0.00068447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00068447,0,0,0.00068447,0,0,0,0.00068447,0,0,0,0,0,0,0.00068447,0.00068447,0.00068447,0.00068447,0.0054757,0.00068447,0,0,0,0,0,0.00068447,0,0,0.00068447,0,0,0,0,0,0,0,0,0,0,0,0.00068447,0.0020534,0.00068447,0,0.0013689,0,0,0,0.00068447,0,0.00068447,0.00068447,0,0,0,0.0013689,0.00068447,0,0.00068447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00068447,0,0,0.00068447,0.0013689,0,0,0,0,0,0,0,0,0.00068447,0,0.0041068,0,0,0,0,0,0,0,0.00068447,0,0,0,0.00068447,0,0,0,0.00068447,0.00068447,0,0,0,0.00068447,0,0,0,0,0.00068447,0,0,0,0,0,0,0,0,0.0020534,0,0,0,0,0,0,0.00068447,0,0,0,0,0,0,0
"image_0105",0,0.00063532,0,0,0,0,0.00063532,0,0,0,0,0,0,0.0012706,0,0.00063532,0.0012706,0,0.00063532,0,0.00063532,0,0,0,0,0,0,0,0,0,0,0.00063532,0.0012706,0.00063532,0,0,0,0,0.00063532,0,0,0.00063532,0,0,0,0,0,0,0,0,0,0,0,0,0.00063532,0,0.00063532,0.00063532,0.00063532,0.00063532,0.00063532,0,0,0,0,0,0.00063532,0,0,0,0.00063532,0.00063532,0,0,0,0,0,0,0.0012706,0.00063532,0,0,0.00063532,0,0.00063532,0,0,0,0,0,0.00063532,0,0,0.00063532,0,0,0,0,0,0,0,0,0,0,0.0012706,0,0.00063532,0.00063532,0,0,0,0,0.00063532,0.00063532,0.00063532,0.0012706,0,0,0,0,0,0.00063532,0.00063532,0.001906,0,0.0012706,0,0,0,0,0.00063532,0.00063532,0,0,0,0,0,0.0012706,0.00063532,0,0,0,0,0,0,0.00063532,0,0,0,0,0.00063532,0.00063532,0,0,0,0.0012706,0,0,0,0,0,0,0,0,0.00063532,0.001906,0,0.0044473,0,0,0,0.00063532,0,0,0.00063532,0,0,0,0,0,0.00063532,0,0.00063532,0.00063532,0.00063532,0,0.00063532,0.00063532,0.0012706,0.00063532,0,0.00063532,0,0.0012706,0,0,0,0.00063532,0,0,0,0,0,0.00063532,0,0.00063532,0,0,0,0,0.00063532,0.00063532,0,0,0.00063532,0,0
"image_0106",0,0.00208,0.00208,0,0,0,0,0,0,0.00052001,0,0,0,0,0.00104,0,0.00052001,0.00104,0,0,0,0,0,0,0,0.00052001,0,0,0,0.00052001,0,0.00104,0.00052001,0.00104,0,0.00052001,0,0,0,0.00104,0.00052001,0,0,0.00052001,0,0,0,0,0,0.00052001,0,0,0.00052001,0,0,0.00104,0,0.00052001,0,0,0,0,0,0,0.00104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00052001,0,0.00052001,0,0.00052001,0,0,0,0,0,0,0,0,0,0,0.00156,0,0,0,0.00052001,0,0,0.00104,0,0,0.00052001,0,0,0,0,0,0,0.00052001,0,0.00052001,0,0.0026001,0.00104,0.00052001,0.00104,0,0.0031201,0.00052001,0.00052001,0,0.00156,0.00208,0,0.00104,0,0.00052001,0,0.00052001,0.00052001,0,0,0.00052001,0,0,0,0.00052001,0,0,0,0,0,0,0,0.00052001,0.00052001,0,0,0.00052001,0,0,0,0,0.00104,0,0,0,0,0,0,0,0,0,0.00104,0,0.00052001,0,0,0.00104,0.00052001,0,0,0.00052001,0.00052001,0,0,0,0,0.00156,0.00052001,0,0,0.00208,0,0.00052001,0,0.00052001,0.00052001,0,0,0,0.00052001,0.00052001,0.00052001,0,0,0,0,0,0,0.00156,0,0.00052001,0,0,0.00104,0,0,0.00052001,0,0.00052001,0.00052001,0,0.00052001,0
